,entity,summary,headline
655,SCHW,"BlackRock, Vanguard and Charles Schwab ETFs landed on Forbes' list of the best ETFs for this year.,,,,,,","Vanguard, Charles Schwab Land on Forbes' Best ETFs List"
656,MYL,nan,FDA approves Teva's generic EpiPen; shares +5.7%
657,VZ,"Mobile US Inc (NASDAQ: TMUS) all traded lower ...,,,,,,","Analysis: Government 5G Network Unlikely, Despite Reports (NYSE:VZ)(NYSE:T)(NYSE:S)(NASDAQ:TMUS)Wireless carriers AT&T Inc. (NYSE: T), Verizon Communications Inc. (NYSE: VZ), Sprint Corp (NYSE: S) and T"
658,GOOG,"Market Analysis by Frank Holmes covering: Alphabet Inc Class A, Apple Inc, Amazon.com Inc, NASDAQ Composite. Read Frank Holmes's Market Analysis on Investing.com,,,,,,","Bitcoin: Is A Return To $20,000 On The Horizon?"
659,ADM,nan,"Book Review: 'Nourished Planet' Editor, Danielle Nierenberg, Island Press, 2018"
660,LNT,"Ringing today's closing bells are Alliant Energy Corporation Chairman and CEO Patricia Leonard Kampling at the NYSE and Autism Speaks President and CEO Angela Geiger at the Nasdaq.,,,,,,","Closing Bell Ringer, April 5, 2018"
661,PKG,"The Swedish retailer has expanded globally, but now it’s getting hurt by the internet and its own fashion choices.,,,,,,","H&M Stock Has Fallen, But It's Not a Bargain Yet"
662,HRB,nan,H&R Block Continues To Bleed: Future Tied To Success Or Failure Of New Strategy
663,WLTW,"NA,,,,,,",Tracking William Von Mueffling's Cantillon Capital Management Portfolio  Q2 2018 Update
664,GPC,"NA,,,,,,",The Best DRIP Stocks: 15 NoFee DRIP Dividend Aristocrats (Video)
665,M,"Macy's Inc said on Wednesday it would hire 80,000 temporary workers to deal with extra customers shopping in the holiday season.,,,,,,","Macy's to hire 80,000 temporary workers for holiday season"
666,CNC," Health insurer Centene Corp reported a 7.5 percent rise in quarterly revenue on Tuesday, helped by growth in its Obamacare business and higher enrolment.,,,,,,",Health insurer Centene's quarterly revenue rises 7.5 pctFeb 6 (Reuters) 
667,RCL,nan,Cruise line rally after Norwegian guidance boost
668,NI,"A former Brexit minister wants to prevent civil servants acting on backstop in absence of assembly.,,,,,,",Bid to stop NI officials acting on backstop
669,CVS,nan,50 Healthcare Top Yield Equities For April
670,F,"- and Ford has a plan to keep it that way.,,,,,,",Why Ford Motor Company’s 6.6% Dividend Isn’t Going AwayFord's dividend makes its stock tempting 
671,HAL,nan,"Biotech Analysis Central Pharma News: Celgene's Protocol Change, Roche's BLA For Herceptin, Amgen's Resubmission For Osteoporosis"
672,PHM,nan,A Closer Study Of Housing Starts Is Helpful
673,BMY,"NA,,,,,,",PBMs oneup drug makers on drug copay assistance schemes
674,VRTX,"development and co-commercialization of CTX001.  CRISPR Therapeutics submitted a CTA (clinical trial application) for CTX001 for the...,,,,,,","Why Wall Street Analysts Are Mostly Positive on CRISPRIn December 2017, CRISPR Therapeutics (CRSP) entered a collaboration with Vertex Pharmaceuticals (VRTX) for the co"
675,VTR,nan,Ventas Is A 'Sleep Well At Night' Buy
676,ADI,"and-raise earnings report.,,,,,,","7 Ways To Play Intel, Nvidia And Other Top Chip StocksChips were among sector funds advancing Wednesday as Analog Devices reversed to a 2% gain after a beat"
677,MS,"U.S. stock index futures hovered at five-month highs on Wednesday ahead of a slew of earnings, with a strong quarterly report from Morgan Stanley helping reaffirm a bullish outlook for the earnings season.,,,,,,","Stock futures at fivemonth highs ahead of Powell testimony, earnings"
678,URI,nan,A Portfolio For John Authers
679,SLB,"Analysts have curbed their expectations for oilfield services earnings over the past two months largely due to sand shortage issues that may lead to fewer completions by many of these companies.,,,,,,","What Schlumberger, Halliburton, Baker Hughes Earnings Will Do for Energy Stocks"
680,HOLX,"Hologic (HOLX) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,",Hologic (HOLX) Down 4.8% Since Last Earnings Report: Can It Rebound?
681,DVN,"Devon Energy (DVN) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,",Devon Energy (DVN) Up 13% Since Earnings Report: Can It Continue?
682,APH,nan,Amphenol: Future Looks Bright
683,LMT,"Boeing, Lockheed Martin and CSX Transportation are the stocks to buy within the industrial sector, Todd Gordon of TradingAnalysis.com told CNBC on Tuesday.,,,,,,","Top technician says rail and defense stocks are set to take off, despite trade war tensions"
684,BSX,"Boston Scientific Corp. announced the U.K. Court of Appeal dismissed Edwards Lifesciences' appeal and upheld a prior court decision that Edwards'.,,,,,,",Boston Scientific: U.K. Court Affirms Edwards Infringes Company's Patent
685,WBA,nan,Rite Aid Trading At A Significant Discount To Peers
686,BKNG,"hailing app Didi Chuxing said on Tuesday it has received a $500 million investment from U.S. travel firm Booking Holdings Inc as part of a new agreement.,,,,,,",China's Didi says gets $500 million investment from Booking.com parentChinese ride
687,VLO,nan,Wall Street Breakfast: Week Begins With Flurry Of Dealmaking
688,GIS,nan,General Mills: Blue Buffalo Is A Net Positive
689,XRAY,"DENTSPLY (XRAY): Q4 EPS of $0.82 beats by $0.01. Revenue of $1.09B (+9.5% Y/Y) beats by $30M. Press Release,,,,,,","DENTSPLY beats by $0.01, beats on revenue"
690,AAPL,"off across  technology companies on Monday on U.S. stock markets left some  investors worrying how much longer those high-flying stocks'  market leadership would last.  Wall Street has ridden the tech sector to record highs in  recent ...,,,,,,",Tech stocks wobble in U.S.; some investors worry party is endingA deep sell
691,FITB,nan,Here come the Fed's stress tests
692,COST,"Shares of Costco (COST) surged to a new high Friday morning after it released August and fiscal year sales figures that highlighted the retail powerhouse's growing e-commerce business. So let's take a look at what investors should make of Costco s...,,,,,,",Time to Buy Costco (COST) Stock As Sales Surge & ECommerce Shines?
693,MU,"Credit Suisse reiterates its outperform rating for Micron shares, citing the company's attractive valuation.,,,,,,",Credit Suisse says buy Micron shares because they're 'extremely cheap'
694,GIS,"- Placing a renewed effort on strategic brand development, enhanced  franchise support and continued growth, Real Property Management, the nation's leading ful...,,,,,,","Real Property Management Names Kent Frogley Vice President of MarketingPR Newswire SALT LAKE CITY, April 17, 2018 SALT LAKE CITY, April 17, 2018 /PRNewswire/ "
695,C,"Among the companies with shares expected to trade actively in Friday's session are JPMorgan Chase, Citigroup, Wells Fargo, Broadcom, Qualcomm and Amazon.com.,,,,,,","Stocks to Watch: JPMorgan Chase, Citigroup, Wells Fargo, Broadcom, Qualcomm, Amazon, Tesla, Netflix"
696,GE,"NA,,,,,,",Dividend Growth CheckUp: 2017
697,LEG,nan,Dividend Sensei's Portfolio Update 33: A Priceless Buffett Strategy That Can Make You Rich
698,CVS,"care model in Aetna merger-CVS CEO Larry Merlo is, in a way, disrupting and rewriting the business model for his drugstore chain before someone else does.,,,,,,",CVS CEO Merlo gets personal with new datadriven health
699,PM,nan,Dividend Sensei's Portfolio Update 38: Why The Stock Market Might Soar 22% In The Next 18 Months And Then Crash 50%
700,K," Earnings Call Slides-NA,,,,,,",Kellogg Company 2017 Q4  Results 
701,HRB,"18 without penalty. If you file your return after midnight today i.e. August 31 then you would have to pay a late fee of upto Rs 10,000. However, if your income is below taxable...,,,,,,",Penalty you will pay for missing ITR filing deadlineToday is the last day to file your income tax return (ITR) for FY2017
702,COL,"to-be reported quarter.,,,,,,",Rockwell Collins' (COL) Q3 Earnings: What's in the Cards?Winning multiple overseas orders may boost Rockwell Collins' (COL) top and bottom lines in the yet
703,INTU,"Yahoo Finance's Jared Blikre joins Melody Hahm from the floor of the New York Stock Exchange to break down the latest market moves. Here's the performance of the Nasdaq 100 component stocks as of 10:00 am ET: NFLX Netflix Inc 3.63% WYNN Wynn Resor...,,,,,,",MARKETS: Goldman says buy Sonos—here's why
704,WBA,nan,My 30 Stock Portfolio +3 Adds
705,WLTW,"Improving economic growth and dissipating insurance pricing headwinds prompted Goldman Sachs to take a more constructive view on the insurance brokers, as ...,,,,,,",Goldman Sachs Gets Constructive On Insurance Brokers
706,CLX,nan,Dividend Sensei's Portfolio Update 40: How Dividend Stocks Could Save You A Fortune During The Next Market Crash
707,PCAR,"Paccar ([[PCAR]] -3.2%) plummets after Goldman Sachs downgrades shares to Neutral from Buy with a $74 price target, noting that while U.S. truck market ind,,,,,,",Paccar 3% as Goldman downgrades amid dim view of trucking stocks
708,HOG,"These are the stocks posting the largest moves before the bell.,,,,,,","Stocks making the biggest moves premarket: BBY, KSS, HOG, BID, NWL, WMT, CRM & more"
709,HBI,"HanesBrands (HBI) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,",HanesBrands (HBI) Down 4.2% Since Last Earnings Report: Can It Rebound?
710,ILMN,nan,Stocks To Watch: Tech Giants In The Spotlight
711,MA,"Which of these payment leaders is the best investment today?,,,,,,","Better Stock: Square, Inc. (SQ) vs. Mastercard (MA)"
712,BLK,nan,DSP group to buy out Blackrock’s 40% stake in DSP Blackrock MF
713,DISCA,"Discovery (DISCA) moved up 1.1% today following an upgrade to Equal Weight by Barclays as well as a price target hike at UBS. The new UBS target is $27, im,,,,,,","Discovery up on upgrade, target raise; considers new HQ"
714,BSX,"Boston Scientific (BSX) registers steady growth across all business lines and geographies in Q1.,,,,,,","Boston Scientific (BSX) Beats on Q1 Earnings, Lifts '18 View"
715,DRI,"NA,,,,,,","Darden Restaurants beats by $0.04, revenue inline"
716,CELG," The U.S. Food and Drug Administration on Thursday named drugmakers including Celgene Corp, Mylan NV, Gilead Sciences and Novartis AG for potentially blocking access to samples of their products to delay generic competition.,,,,,,",FDA names drugmakers likely blocking access to branded drug samplesMay 17 (Reuters) 
717,FL,"Mattamy Homes US Announces New President for its Orlando Division PR Newswire ORLANDO, FL, Oct. 19, 2018 Experienced homebuilding executive David Baselice will direct the company's operations and strategy in Orlando ORLANDO, FL , Oct. 19, 2018 /PR...,,,,,,",Mattamy Homes US Announces New President for its Orlando Division
718,DRI,nan,Darden Restaurants Keeps Impressing
719,NVDA,"Bearish calls on NVIDIA Corporation (NASDAQ: NVDA) haven’t worked out so well on Wall Street in the past couple of years. However, Citron ...,,,,,,","Citron Thinks Nvidia Could Fall 15% (NASDAQ:NVDA) Calls It 'Great Company, Dangerous Stock'"
720,AMAT,"CNBC's Morgan Brennan reports on Applied Materials announcing a stock buyback program as well as increasing its dividend.,,,,,,",Applied Materials announces $6 billion share buyback
721,K,"BATTLE CREEK, Mich. — Kellogg’s Honey Smacks is returning to shelves following a voluntarily recall after salmonella infected 100 people in 33 states. The company announced on Monday the cereal will return next month in limited quantities with “a ...,,,,,,",Honey Smacks back on shelves after salmonella recall
722,CBS," Media company CBS Corp CBS.N, which is exploring a merger with Viacom Inc , topped quarterly revenue and profit estimates on Thursday, driven by strong growth in domestic and international licensing sales.,,,,,,",CBS tops estimates on strong licensing revenue(Reuters) 
723,LMT,"35, lower tax rate-Lockheed Martin Corp , the Pentagon's No. 1 weapons supplier, on Tuesday posted a better-than-expected rise in quarterly profit, driven by higher production of its F-35 fighter jets, and forecast that sales would top Wall Street estimates for next...,,,,,,","Lockheed Martin thirdquarter profit beats, helped by F"
724,MS," sources-HONG KONG, Feb 28 (Reuters) - Chinese electric vehicle startup Nio has hired eight banks including Morgan Stanley and Goldman Sachs to work on a planned U.S. stock market listing this year worth up to $2 billion, people with knowledge of the matte...,,,,,,",UPDATE 1China startup Nio hires eight banks for up to $2 bln U.S. IPO 
725,PH,nan,"Upcoming Dividends; 45 Companies, 9 Double Digit Increases"
726,DG,"Dollar General's quarterly same-store sales topped analysts' estimates on Thursday as more customers shopped for apparel and groceries at the discount store chain.,,,,,,",Dollar General quarterly samestore sales top estimates
727,PAYX,"Yahoo Finance's Jared Blikre joins Melody Hahm from the floor of the New York Stock Exchange to break down the latest market moves. Here's the performance of the Nasdaq 100 component stocks as of 10:00 am ET: NFLX Netflix Inc 3.63% WYNN Wynn Resor...,,,,,,",MARKETS: Goldman says buy Sonos—here's why
728,PFE,"Earnings is providing a much-needed boost to the biotech sector last week, with big-name companies like Eli Lilly And Co (NYSE: LLY) and Pfizer Inc. (NYSE: ...,,,,,,","The Week Ahead In Biotech: Conferences, PDUFA Dates And IPOs (Aug. 511)"
729,WMT,nan,How To Retire Today: Dividends
730,DFS,nan,Stocks To Watch: Oracle Looks To Lift Tech Sector
731,NVDA,"up computers to run them has been a bit underwhelming, but Mark Lipacis of Jefferies thinks the market can be helped by the forthcoming feature film ""Ready Player One,"" which may draw the VR faithful an...,,,,,,","‘Ready Player One’: An Nvidia, AMD Catalyst?The market for pricey VR headsets and souped"
732,IP,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",International Paper downgraded to sector perform from outperform at RBC CapitalThis is a Real
733,MO,"NA,,,,,,",Worried About Retirement? Then Consider These 11 HighYield Blue Chip Dividend Growth Stocks
734,MGM,"NA,,,,,,",MGM Resorts (MGM) Investor Presentation  Slideshow
735,AMD,"SIGnals report for the third-quarter reveals rising share for AMD chips in the desktop, laptop and graphics card markets.,,,,,,",AMD shares rise after skeptical analyst admits chipmaker is gaining market shareSusquehanna Financial Group's PC
736,WM,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Waste Management upgraded to outperform from market perform at Raymond JamesThis is a Real
737,ES,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Eversource Energy upgraded to buy vs. neutral at JanneyThis is a Real
738,LB,"L Brands' (LB) net and comparable sales increase in February. However, margin continues to disappoint investors.,,,,,,","L Brands' February Comps Rise, Share Buyback Plan Announced"
739,CAH,nan,My Conversation With Harry
740,GS,"Goldman Sachs still isn't convinced Tesla will be able to meet even its Model 3 production targets.,,,,,,","Goldman Sachs cuts Tesla price target, predicts Model 3 disappointments and capital raise"
741,BMY,"NA,,,,,,","Learn How To Invest Against Acute Myeloid Leukemia, One Of The FastestGrowing Cancer Markets"
742,FDX,nan,Darden: Alpha Thesis Has Worked; Time To Reassess It
743,MMM,nan,"3M beats by $0.01, beats on revenue"
744,SJM,"The following slide deck was published by J. M. Smucker Company in conjunction with this event.,,,,,,",J. M. Smucker (SJM) Presents At Consumer Analyst Group of New York Investor Conference 2018  Slideshow
745,TEL,"Philippine broadband services provider Converge ICT Solutions Inc said on Wednesday it would invest $1.8 billion over the next five years for a nationwide rollout of fast and cheap fibre internet, partnering with South Korea's KT Corp and U.S. fir...,,,,,,","Philippines' Converge to spend $1.8 bln for broadband rollout, taps S.Korea's KT"
746,GD,nan,Fix Your Roof While The Sun Is Shining: The Dividend Aristocrats Are (Sorta) On Sale
747,HAS,"Shares of the toymaker slid anew on an ongoing correction and in response to a new challenge from Hasbro.,,,,,,","Why Funko, Inc. Stock Was Falling Again Today"
748,MA,"NA,,,,,,",Tracking Wallace Weitz's Weitz Investment Management Portfolio  Q1 2018 Update
749,PCG,"PG&E Corp's (PCG) total revenues of $4,234 million miss the Zacks Consensus Estimate of $4,291 million by 1.3%.,,,,,,","PG&E Corp (PCG) Q2 Earnings Top Estimates, Revenues Down Y/Y"
750,L," Earnings Call Slides-NA,,,,,,",Loblaw Companies Limited 2017 Q4  Results 
751,OXY,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,","Occidental Petroleum, Humana added to Fresh Money Buy list at Morgan StanleyThis is a Real"
752,MU,"earnings ratio of 4.4, ...,,,,,,","Micron Technology Teaches a Tough Trading LessonBy all accounts, the shares of Micron Technology (NASDAQ:MU) should be trading somewhere around $84. That’s the consensus price target which analysts have come up with. Given that MU stock is only trading at a forward price"
753,CI,"Cigna (CI) Q2 earnings is likely to gain from strong growth at its segments.,,,,,,","Will Revenue, Membership Growth Aid Cigna (CI) Q2 Earnings?"
754,SYY,"US Foods and Sysco allege that U.S. poultry suppliers colluded to manipulate supply and prices for their products.,,,,,,",Chicken suppliers fall amid allegations of collusion
755,ROP,nan,An Unexpected Leadership Transition Likely Won't Faze Roper
756,F,"line beat Tuesday, with its $1.65 earnings per share figure 20 percent above estimates and 21 percent over ...,,,,,,","Showdown: How GM (NYSE:GM), Ford (NYSE:F) Compare In Q4 Sales, EarningsGeneral Motors Company (NYSE: GM) posted a bottom"
757,STI,"employee may have shared info on 1.5 mln clients-April 20 (Reuters) - SunTrust Banks Inc said on Friday a former employee may have attempted to download some information on nearly 1.5 million clients and share it with a criminal third-party.,,,,,,",UPDATE 1SunTrust says ex
758,ESS,nan,Dividend Growth Model Portfolio July Update
759,ORCL,"By Ajay KumarWe all have heard at least one description of what blockchain is, and perhaps that description had something to do with money or cryptocurrency. But, blockchain technology has broader applications than cryptocurrencies. In the future,...,,,,,,",Four things other than cryptocurrency that blockchain can do for you
760,MPC,"Even in a cyclical industry, Marathon keeps throwing off gobs of cash that management is returning to shareholders in a big way.,,,,,,",Marathon Petroleum's Earnings Are a Compelling Case to Invest in This Stock
761,AZO,"11.5%) is selling Interamerican Motor to Parts Authority for an undisclosed amount. Interamerican operates 26 locations across 9 states ,,,,,,",AutoZone unloads Interamerican MotorAutoZone ([[AZO]] 
762,AMZN,"Stocks - Wall Street Eases at Open; Amazon to $1 Trillion?,,,,,,",Stocks  Wall Street Eases at Open; Amazon to $1 Trillion?
763,NDAQ," Earnings Call Slides-NA,,,,,,",Nasdaq Inc. 2018 Q2  Results 
764,AXP," Departing American Express Co Chief Executive Kenneth Chenault will become Airbnb Inc's first non-affiliated independent board director, the home rental service's CEO Brian Chesky said.,,,,,,",Departing AmEx CEO Kenneth Chenault to join Airbnb boardJan 25 (Reuters) 
765,ALXN,"Adding Stockholm-based Wilson gives the U.S. group a new portfolio of novel therapies to treat unusual copper-mediated disorders,,,,,,",Alexion Pharmaceuticals buying Wilson Therapeutics for $1.1billion
766,RJF,"Chris Bailey, European strategist at Raymond James, speaks about investing in European markets.,,,,,,",Lack of optimism makes Europe an interesting stock picking zone: Pro
767,CVS,nan,"CVS, Aetna get DoJ request for more information related to merger"
768,MCHP,"Microchip Technology Inc.                                                                                                                                                                                                    ...,,,,,,",Microchip Tech shares fall on outlook
769,REGN,nan,"Your Daily Pharma Scoop: Alnylam Update, Malinckrodt's Adcom Failure, Anika's Drug Recall"
770,ESS,nan,Essex Property Trust beats by $0.01
771,HOG,"NA,,,,,,",Polaris Didn't Deserve To Be OffRoaded
772,HCA,nan,U.S. healthcare spending nearing 20% of GDP
773,T,"AT&T defended a court ruling that allowed it to buy Time Warner, arguing that both the law and current industry realities showed the acquisition wouldn’t harm competition.,,,,,,",AT&T Attacks Justice Department Appeal in Time Warner Case
774,PNC,nan,Banks climb after Goldman analyst sees promising Q3 reports ahead
775,FISV,nan,Fiserv starts tender offer for 4.625% senior notes due 2020
776,HOG,"NA,,,,,,",HarleyDavidson's Earnings Miss Is A Sign Of More Pain Ahead
777,SO,"Atlanta Fed President Raphael Bostic says he would like to see more rate hikes but at a slow pace.,,,,,,",Fed’s Bostic backs slower pace of interestrate hikes
778,LLY,"Jim Cramer details Eli Lilly's miraculous rally and how it went from loathed to loved in a matter of months.,,,,,,",Cramer Remix: How this drug stock put the bear case to rest
779,AKAM,"hot tech stock making a big turnaround.,,,,,,",Cramer Remix: Blast from the past Akamai is in a sweet spot for buyingJim Cramer circles back to a formerly red
780,GM,nan,GM will no longer report monthly U.S. auto sales
781,HCP,"Here's why HCP is my favorite large healthcare REIT.,,,,,,",Is HCP Inc. a Buy?
782,PFE,"ViiV Healthcare, the global specialist HIV company, majority owned by GlaxoSmithKline, with Pfizer Inc. and Shionogi Limited as shareholders, today announced that the European Committee for Medicinal Products for Human Use has issued a Positive Op...,,,,,,",ViiV Healthcare Gains CHMP Positive Opinion for Juluca (dolutegravir/rilpivirine) in Europe
783,AET,"chairman, talk about the metrics used to rank which communities in America offer the best quality of life.,,,,,,","Top 5 healthiest places to live in the US: Aetna CEOMark Bertolini, Aetna chairman and CEO, and Eric Gertler, U.S. News co"
784,BBY,"More than 100 million people has subscribed to Amazon Prime, making it one of the most popular digital subscription services.,,,,,,","Amazon Roundup: Prime Reaches 100 Million, Best Buy Deal & More"
785,REGN,nan,Alnylam and Regeneron team up in NASH
786,SPG,nan,"4.45% Yield REIT Belongs In Most Dividend Portfolios, Steady Growth Continues"
787,FLR,nan,"Report: Fluor, JGC secure $14B LNG Canada project order"
788,HUM,"Humana (HUM) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,",Humana (HUM) Up 3% Since Earnings Report: Can It Continue?
789,WLTW,"Willis Towers Watson (WLTW) remains a good investment option banking on a few factors.,,,,,,",Why You Should Hold on to Willis Towers Watson Stock Now
790,ITW,nan,The 2018 Dividend Aristocrats: 25+ Years Of Rising Dividends (Video)
791,CRM,"off. Micron tried to break out. Intel and Nvidia remain buys. The post Dow Jones Futures: Salesforce Hits Buy Zone...,,,,,,",Dow Jones Futures: Salesforce Hits Buy Zone; This Key Tech Sector Holds UpFutures rose late Tuesday as Salesforce signaled a move back into a buy zone on earnings. Chip stocks held up well in Tuesday's sell
792,NWL,"Jim Cramer says investors shouldn't own the stock of Newell Brands amid increasing pressure from activist investors.,,,,,,",Cramer: The proxy fight in Newell Brands has very limited upside
793,ILMN,"Zacks.com featured highlights include: Caterpillar, WellCare Health, Intuit, Cardtronics and Illumina,,,,,,","Zacks.com featured highlights include: Caterpillar, WellCare Health, Intuit, Cardtronics and Illumina"
794,EFX,"Equifax (EFX) reported earnings 30 days ago. What's next for the company? We take a look at earnings estimates for some clues.,,,,,,",Equifax (EFX) Up 9.7% Since Last Earnings Report: Can It Continue?
795,NBL,"Noble Group Ltd.’s dissident shareholder Goldilocks Investment Co. listed a raft of hedge funds and banks, including Goldman Sachs Group Inc. and Deutsche Bank AG, as defendants in its legal battle against the commodity trader, as the fund presses...,,,,,,",Banks and Hedge Funds Drawn Into Noble Group's Legal Fights
796,WRK,"term results.,,,,,,","WestRock to Incur Higher Costs Due to Hurricane FlorenceThough no damage has been reported, disrupted operations due to Hurricane Florence, increased input, operational and supply chain costs will impair WestRock's (WRK) near"
797,V,"The card companies have a moat of molasses as long as blockchain transactions take relatively forever.,,,,,,","Bitcoin Can’t Take a Bite Out of Visa, Mastercard"
798,BHGE,"Crude oil is traing up $1.12 or 1.67% at $68.96 The Baker Hughes rig count will be released at the top of the hour. , the numbers were unchanged from the prior week:,,,,,,",Baker Hughes rig count out at the top of the hour
799,INTC,nan,AMD: My New 12 Month Forward Price Target Is Now $30 A Share
800,PFE,"Dividends play a key role in compounding returns over time and can form a large part of our portfolio return. Pfizer Inc (NYSE:PFE) has returned to shareholders over the pastRead More...,,,,,,",Should You Buy Pfizer Inc (NYSE:PFE) For Its Dividend?
801,SBUX,"NA,,,,,,",My Dividend Growth Portfolio  Q2 2018 Summary
802,IRM,"- As new research uncovers that nearly one third of antibiotic prescriptions are not needed and not effective, more people are seeking out non-drug treatments for cold and flu. Botanical medicine, rigorous...,,,,,,","Naturopathic Doctors Offer Botanical Medicine to Manage Cold and FluSeattle, Sept. 05, 2018 (GLOBE NEWSWIRE) "
803,DOV,nan,Fix Your Roof While The Sun Is Shining: The Dividend Aristocrats Are (Sorta) On Sale
804,TXN," General"" group is expected to exceed 20% in 2018, and investors will hope that Texas Instruments can get things started with a strong report on Tuesday. Let's take a closer look.,,,,,,","Should You Buy Texas Instruments (TXN) Stock Ahead of Earnings?Earnings growth in our ""Semiconductor "
805,VLO,nan,Valero Energy declares $0.80 dividend
806,XOM,nan,Navigating An Energy Transition
807,C,"NA,,,,,,",JPMorgan And Dimon's 'Golden Age Of Banking'  An Assessment
808,GOOG," all eyes on tech - Apple, Alphabet, and Amazon reporting any minute now - we'll have them, live.,,,,,,","Stocks weak as rates keep rising; Apple, Amazon, Alphabet earnings on the wayStocks giving up big gains here as rates keep ticking higher. Plus "
809,BLL,"point lead in the final 90 seconds before rallying back to beat the Magic 108-107 on Wednesday night. The game ended with a cur...,,,,,,","Lakers avoid collapse thanks to curious officiating decisionLOS ANGELES — Brook Lopez scored 27 points and hit two free throws with 0.6 seconds to play, and the Lakers blew a nine"
810,APD,nan,Fix Your Roof While The Sun Is Shining: The Dividend Aristocrats Are (Sorta) On Sale
811,DISCA,nan,Discovery +3.4% as Jefferies lifts to Buy
812,SO,nan,Missed A Hot IPO? Subscriptions Soar Towards 5 Million At This Startup
813,MU,"and-dividend hike. The post Dow Jones Futures: Micron Technology Warns On Trump ...,,,,,,","Dow Jones Futures: Micron Technology Warns On Trump Tariffs; Chip Stocks FallStock futures: Micron earnings topped views, but shares fell on weak guidance due to Trump tariffs. Other chip stocks fell, though Texas Instruments rose on a buyback"
814,NWL,"Newell Brands (NWL) agrees to sell Rawlings for $340 million, after tax. This is in sync with the company's Accelerated Transformation Plan.,,,,,,",Newell (NWL) to Sell Rawlings as Part of Transformation Plan
815,CCL,nan,Royal Caribbean: More Attractive Than Carnival?
816,CI,"Zacks Industry Outlook Highlights: Aetna, Cigna, UnitedHealth and CVS Health,,,,,,","Zacks Industry Outlook Highlights: Aetna, Cigna, UnitedHealth and CVS Health"
817,SCG,"Investors and potential investors gained useful lessons about the company over the first 3 months of 2018. SCANA’s stock remains speculative but some of the ris,,,,,,",SCANA Remains A Speculative Opportunity
818,WYNN,"A proxy fight involving Wynn Resorts' biggest investor heads to a shareholder vote next week.,,,,,,",Wynn Resorts proxy fight involving its largest investor heads to a shareholder vote next week
819,MKC,nan,Dividend Sensei's Portfolio Update 34: Why The Future Of Work Will Be Glorious
820,CSCO,"Market Overview Analysis by TD Ameritrade (JJ Kinahan) covering: S&P 500, Bank of America Corp, Cisco Systems Inc, Alphabet Inc Class A. Read TD Ameritrade (JJ Kinahan)'s latest article on Investing.com,,,,,,","Watchful Wednesday: Investors Anticipate Apple, CentralBank Events"
821,AEE," Earnings Call Slides-NA,,,,,,",Ameren Corporation 2018 Q2  Results 
822,LLY,"NA,,,,,,","Positive latestage results for Biohaven's rimegepant fails to lift shares, down 29% premarket"
823,STX,nan,Outperforming The Market By Following Earnings Revisions
824,ALK,"Airline stocks soared Friday, giving a big boost to the Dow Jones Transportation Average , with the tumbled in crude oil prices helping fuel the rally. The NYSE Arca Airline Index rallied 3.0%. The Dow transports top gainers were all airline stock...,,,,,,","Airline stocks surge to fuel the Dow transports' rally, as oil prices tumble"
825,HD,"founder of Home Depot says.,,,,,,","Billionaire Ken Langone: 'This economy is booming,' and Trump deserves a lot of credit for itTrump's economic agenda is fueling a resurgence in the economy that cannot be denied, the co"
826,CF,"CF (CF) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,,,,,,",CF Industries (CF) Q3 Earnings Preview: What to Watch Ahead of the Release
827,NI,"- The growing adoption of electric-vehicles (EV) and the subse...,,,,,,","Demand for Lithium and Cobalt Expected to Grow as EVs Gain PopularityDemand for Lithium and Cobalt Expected to Grow as EVs Gain Popularity FinancialBuzz.com News Commentary PR Newswire NEW YORK, October 15, 2018 NEW YORK , October 15, 2018 /PRNewswire/ "
828,CSX,"cutting boost-April 17 (Reuters) - CSX Corp easily topped Wall Street forecasts for first-quarter profit as the No. 3 U.S. railroad operator benefited from a cut-throat efficiency and cost-cutting drive, sending its shares 5 percent higher on Tuesday.,,,,,,",UPDATE 2Rail operator CSX tops profit estimates on cost
829,TDG,"TransDigm (TDG) concludes the acquisition of the Kirkhill engineered elastomers business, expands its proprietary engineering products portfolio.,,,,,,","TransDigm Takes Over Kirkhill, Acquisition Strategy Strong"
830,PSA,"Public Storage (PSA) expected to experience solid demand in Q4. Its robust presence, acquisition and expansion efforts will likely drive growth in the quarter. But high supply remains a concern.,,,,,,",Public Storage (PSA) to Post Q4 Earnings: What's in Store?
